  # Source : patch bedOfSpheres_to_fluid
# Faces  : 2688
# Time	sum(magSf)	areaAverage(T)
8.107812e+01	3.143397e+00	5.635091e+02
8.139062e+01	3.143397e+00	5.633438e+02
8.170312e+01	3.143397e+00	5.631790e+02
8.201562e+01	3.143397e+00	5.630145e+02
8.232812e+01	3.143397e+00	5.628505e+02
8.264062e+01	3.143397e+00	5.626867e+02
8.295312e+01	3.143397e+00	5.625234e+02
8.326562e+01	3.143397e+00	5.623605e+02
8.357812e+01	3.143397e+00	5.621979e+02
8.389062e+01	3.143397e+00	5.620356e+02
8.420312e+01	3.143397e+00	5.618738e+02
8.451562e+01	3.143397e+00	5.617122e+02
8.482812e+01	3.143397e+00	5.615511e+02
8.514062e+01	3.143397e+00	5.613903e+02
8.545312e+01	3.143397e+00	5.612298e+02
8.576562e+01	3.143397e+00	5.610696e+02
8.607812e+01	3.143397e+00	5.609098e+02
8.639062e+01	3.143397e+00	5.607503e+02
8.670312e+01	3.143397e+00	5.605911e+02
8.701562e+01	3.143397e+00	5.604323e+02
8.732812e+01	3.143397e+00	5.602738e+02
8.764062e+01	3.143397e+00	5.601155e+02
8.795312e+01	3.143397e+00	5.599576e+02
8.826562e+01	3.143397e+00	5.598000e+02
8.857812e+01	3.143397e+00	5.596426e+02
8.889062e+01	3.143397e+00	5.594856e+02
8.920312e+01	3.143397e+00	5.593289e+02
8.951562e+01	3.143397e+00	5.591724e+02
8.982812e+01	3.143397e+00	5.590163e+02
9.014062e+01	3.143397e+00	5.588604e+02
9.045312e+01	3.143397e+00	5.587048e+02
9.076562e+01	3.143397e+00	5.585495e+02
9.107812e+01	3.143397e+00	5.583945e+02
9.139062e+01	3.143397e+00	5.582397e+02
9.170312e+01	3.143397e+00	5.580853e+02
9.201562e+01	3.143397e+00	5.579310e+02
9.232812e+01	3.143397e+00	5.577771e+02
9.264062e+01	3.143397e+00	5.576234e+02
9.295312e+01	3.143397e+00	5.574700e+02
9.326562e+01	3.143397e+00	5.573168e+02
9.357812e+01	3.143397e+00	5.571639e+02
9.389062e+01	3.143397e+00	5.570113e+02
9.420312e+01	3.143397e+00	5.568589e+02
9.451562e+01	3.143397e+00	5.567067e+02
9.482812e+01	3.143397e+00	5.565548e+02
9.514062e+01	3.143397e+00	5.564031e+02
9.545312e+01	3.143397e+00	5.562517e+02
9.576562e+01	3.143397e+00	5.561005e+02
9.607812e+01	3.143397e+00	5.559496e+02
9.639062e+01	3.143397e+00	5.557989e+02
9.670312e+01	3.143397e+00	5.556484e+02
9.701562e+01	3.143397e+00	5.554982e+02
9.732812e+01	3.143397e+00	5.553482e+02
9.764062e+01	3.143397e+00	5.551984e+02
9.795312e+01	3.143397e+00	5.550488e+02
9.826562e+01	3.143397e+00	5.548995e+02
9.857812e+01	3.143397e+00	5.547504e+02
9.889062e+01	3.143397e+00	5.546015e+02
9.920312e+01	3.143397e+00	5.544528e+02
9.951562e+01	3.143397e+00	5.543044e+02
9.982812e+01	3.143397e+00	5.541561e+02
1.001406e+02	3.143397e+00	5.540081e+02
1.004531e+02	3.143397e+00	5.538603e+02
1.007656e+02	3.143397e+00	5.537126e+02
1.010781e+02	3.143397e+00	5.535652e+02
1.013906e+02	3.143397e+00	5.534180e+02
1.017031e+02	3.143397e+00	5.532710e+02
1.020156e+02	3.143397e+00	5.531242e+02
1.023281e+02	3.143397e+00	5.529776e+02
1.026406e+02	3.143397e+00	5.528312e+02
1.029531e+02	3.143397e+00	5.526850e+02
1.032656e+02	3.143397e+00	5.525390e+02
1.035781e+02	3.143397e+00	5.523932e+02
1.038906e+02	3.143397e+00	5.522476e+02
1.042031e+02	3.143397e+00	5.521022e+02
1.045156e+02	3.143397e+00	5.519569e+02
1.048281e+02	3.143397e+00	5.518119e+02
1.051406e+02	3.143397e+00	5.516670e+02
1.054531e+02	3.143397e+00	5.515223e+02
1.057656e+02	3.143397e+00	5.513778e+02
1.060781e+02	3.143397e+00	5.512335e+02
1.063906e+02	3.143397e+00	5.510894e+02
1.067031e+02	3.143397e+00	5.509454e+02
1.070156e+02	3.143397e+00	5.508016e+02
1.073281e+02	3.143397e+00	5.506580e+02
1.076406e+02	3.143397e+00	5.505146e+02
