  # Source : patch bedOfSpheres_to_fluid
# Faces  : 2688
# Time	sum(magSf)	areaAverage(T)
6.353946e-02	3.143397e+00	6.000000e+02
1.723633e-01	3.143397e+00	6.000000e+02
3.209545e-01	3.143397e+00	6.000000e+02
5.043738e-01	3.143397e+00	6.000000e+02
7.186047e-01	3.143397e+00	6.000000e+02
9.602038e-01	3.143397e+00	6.000000e+02
1.220732e+00	3.143397e+00	6.000000e+02
1.492469e+00	3.143397e+00	6.000000e+02
1.773363e+00	3.143397e+00	6.000000e+02
2.061560e+00	3.143397e+00	6.000000e+02
2.355583e+00	3.143397e+00	6.000000e+02
2.654163e+00	3.143397e+00	6.000000e+02
2.956248e+00	3.143397e+00	6.000000e+02
3.260963e+00	3.143397e+00	6.000000e+02
3.567784e+00	3.143397e+00	6.000000e+02
3.876187e+00	3.143397e+00	6.000000e+02
4.185772e+00	3.143397e+00	6.000000e+02
4.496223e+00	3.143397e+00	6.000000e+02
4.807343e+00	3.143397e+00	6.000000e+02
5.118893e+00	3.143397e+00	6.000000e+02
5.430785e+00	3.143397e+00	6.000000e+02
5.742828e+00	3.143397e+00	6.000000e+02
6.055143e+00	3.143397e+00	6.000000e+02
6.367457e+00	3.143397e+00	6.000000e+02
6.679772e+00	3.143397e+00	6.000000e+02
6.992309e+00	3.143397e+00	6.000000e+02
7.304994e+00	3.143397e+00	6.000000e+02
7.617679e+00	3.143397e+00	6.000000e+02
7.930364e+00	3.143397e+00	6.000000e+02
8.243049e+00	3.143397e+00	6.000000e+02
8.555734e+00	3.143397e+00	6.000000e+02
8.868418e+00	3.143397e+00	6.000000e+02
9.181103e+00	3.143397e+00	6.000000e+02
9.493788e+00	3.143397e+00	6.000000e+02
9.806473e+00	3.143397e+00	6.000000e+02
1.011916e+01	3.143397e+00	6.000000e+02
1.043184e+01	3.143397e+00	6.000000e+02
1.074453e+01	3.143397e+00	6.000000e+02
1.105721e+01	3.143397e+00	6.000000e+02
1.136990e+01	3.143397e+00	6.000000e+02
1.168258e+01	3.143397e+00	6.000000e+02
1.199527e+01	3.143397e+00	6.000000e+02
1.230795e+01	3.143397e+00	6.000000e+02
1.262064e+01	3.143397e+00	6.000000e+02
1.293332e+01	3.143397e+00	6.000000e+02
1.324601e+01	3.143397e+00	6.000000e+02
1.355869e+01	3.143397e+00	6.000000e+02
1.387138e+01	3.143397e+00	6.000000e+02
1.418406e+01	3.143397e+00	6.000000e+02
1.449675e+01	3.143397e+00	6.000000e+02
1.480943e+01	3.143397e+00	6.000000e+02
1.512212e+01	3.143397e+00	6.000000e+02
1.543480e+01	3.143397e+00	6.000000e+02
1.574749e+01	3.143397e+00	6.000000e+02
1.606017e+01	3.143397e+00	6.000000e+02
1.637286e+01	3.143397e+00	6.000000e+02
1.668554e+01	3.143397e+00	6.000000e+02
1.699823e+01	3.143397e+00	6.000000e+02
1.731091e+01	3.143397e+00	6.000000e+02
1.762359e+01	3.143397e+00	6.000000e+02
1.793628e+01	3.143397e+00	6.000000e+02
1.824896e+01	3.143397e+00	6.000000e+02
1.856165e+01	3.143397e+00	6.000000e+02
1.887433e+01	3.143397e+00	6.000000e+02
1.918702e+01	3.143397e+00	6.000000e+02
1.949970e+01	3.143397e+00	6.000000e+02
1.981239e+01	3.143397e+00	6.000000e+02
2.012510e+01	3.143397e+00	6.000000e+02
2.043784e+01	3.143397e+00	6.000000e+02
2.075059e+01	3.143397e+00	6.000000e+02
2.106333e+01	3.143397e+00	6.000000e+02
2.137608e+01	3.143397e+00	6.000000e+02
2.168882e+01	3.143397e+00	6.000000e+02
2.200156e+01	3.143397e+00	6.000000e+02
2.231431e+01	3.143397e+00	6.000000e+02
2.262705e+01	3.143397e+00	6.000000e+02
2.293980e+01	3.143397e+00	6.000000e+02
2.325254e+01	3.143397e+00	6.000000e+02
2.356529e+01	3.143397e+00	6.000000e+02
2.387803e+01	3.143397e+00	6.000000e+02
2.419077e+01	3.143397e+00	6.000000e+02
2.450352e+01	3.143397e+00	6.000000e+02
2.481626e+01	3.143397e+00	6.000000e+02
2.512901e+01	3.143397e+00	6.000000e+02
2.544175e+01	3.143397e+00	6.000000e+02
2.575450e+01	3.143397e+00	6.000000e+02
2.606724e+01	3.143397e+00	6.000000e+02
2.637998e+01	3.143397e+00	6.000000e+02
2.669273e+01	3.143397e+00	6.000000e+02
2.700547e+01	3.143397e+00	6.000000e+02
2.731822e+01	3.143397e+00	6.000000e+02
2.763096e+01	3.143397e+00	6.000000e+02
2.794371e+01	3.143397e+00	6.000000e+02
2.825645e+01	3.143397e+00	6.000000e+02
2.856919e+01	3.143397e+00	6.000000e+02
2.888194e+01	3.143397e+00	6.000000e+02
2.919468e+01	3.143397e+00	6.000000e+02
2.950743e+01	3.143397e+00	6.000000e+02
2.982017e+01	3.143397e+00	6.000000e+02
3.013292e+01	3.143397e+00	6.000000e+02
3.044566e+01	3.143397e+00	6.000000e+02
3.075841e+01	3.143397e+00	6.000000e+02
3.107115e+01	3.143397e+00	6.000000e+02
3.138389e+01	3.143397e+00	6.000000e+02
3.169664e+01	3.143397e+00	6.000000e+02
3.200938e+01	3.143397e+00	6.000000e+02
3.232213e+01	3.143397e+00	6.000000e+02
3.263487e+01	3.143397e+00	6.000000e+02
3.294762e+01	3.143397e+00	6.000000e+02
3.326036e+01	3.143397e+00	6.000000e+02
3.357310e+01	3.143397e+00	6.000000e+02
3.388585e+01	3.143397e+00	6.000000e+02
3.419859e+01	3.143397e+00	6.000000e+02
