-0.499697 	566.648
-0.489394 	566.648
-0.479091 	568.059
-0.468788 	569.432
-0.458485 	571.934
-0.448182 	571.934
-0.437879 	571.934
-0.427576 	571.934
-0.417273 	575.29
-0.40697 	575.29
-0.396667 	575.29
-0.386364 	575.29
-0.376061 	579.69
-0.365758 	579.69
-0.355455 	579.69
-0.345152 	579.69
-0.334848 	579.69
-0.324545 	579.69
-0.314242 	579.69
-0.303939 	584.383
-0.293636 	584.383
-0.283333 	584.383
-0.27303 	584.383
-0.262727 	584.383
-0.252424 	584.383
-0.242121 	584.383
-0.231818 	584.383
-0.221515 	587.607
-0.211212 	587.607
-0.200909 	587.607
-0.190606 	587.607
-0.180303 	587.607
-0.17 	587.607
-0.159697 	587.607
-0.149394 	589.297
-0.139091 	589.297
-0.128788 	589.297
-0.118485 	589.297
-0.108182 	589.297
-0.0978788 	589.297
-0.0875758 	589.297
-0.0772727 	589.297
-0.0669697 	589.297
-0.0566667 	589.297
-0.0463636 	589.297
-0.0360606 	589.297
-0.0257576 	589.297
-0.0154545 	589.297
-0.00515152 	589.297
0.00515152 	587.118
0.0154545 	587.118
0.0257576 	587.118
0.0360606 	587.118
0.0463636 	587.118
0.0566667 	587.118
0.0669697 	587.118
0.0772727 	587.118
0.0875758 	587.118
0.0978788 	587.118
0.108182 	587.118
0.118485 	587.118
0.128788 	587.118
0.139091 	587.118
0.149394 	587.118
0.159697 	581.457
0.17 	581.457
0.180303 	581.457
0.190606 	581.457
0.200909 	581.457
0.211212 	581.457
0.221515 	581.457
0.231818 	574.511
0.242121 	574.511
0.252424 	574.511
0.262727 	574.511
0.27303 	574.511
0.283333 	574.511
0.293636 	574.511
0.303939 	574.511
0.314242 	565.021
0.324545 	565.021
0.334848 	565.021
0.345152 	565.021
0.355455 	565.021
0.365758 	565.021
0.376061 	565.021
0.386364 	556.291
0.396667 	556.291
0.40697 	556.291
0.417273 	556.291
0.427576 	549.843
0.437879 	549.843
0.448182 	549.843
0.458485 	549.843
0.468788 	544.943
0.479091 	542.286
0.489394 	539.575
0.499697 	539.575
