  # Source : patch bedOfSpheres_to_fluid
# Faces  : 2688
# Time	sum(magSf)	areaAverage(T)
1.081088e+02	3.143397e+00	5.504852e+02
1.086269e+02	3.143397e+00	5.502486e+02
1.091451e+02	3.143397e+00	5.500125e+02
1.096632e+02	3.143397e+00	5.497769e+02
1.101813e+02	3.143397e+00	5.495418e+02
1.106995e+02	3.143397e+00	5.493071e+02
1.112176e+02	3.143397e+00	5.490728e+02
1.117358e+02	3.143397e+00	5.488390e+02
1.122539e+02	3.143397e+00	5.486056e+02
1.127720e+02	3.143397e+00	5.483726e+02
1.132902e+02	3.143397e+00	5.481401e+02
1.138083e+02	3.143397e+00	5.479080e+02
1.143264e+02	3.143397e+00	5.476763e+02
1.148446e+02	3.143397e+00	5.474450e+02
1.153627e+02	3.143397e+00	5.472142e+02
1.158808e+02	3.143397e+00	5.469837e+02
1.163990e+02	3.143397e+00	5.467536e+02
1.169171e+02	3.143397e+00	5.465239e+02
1.174352e+02	3.143397e+00	5.462946e+02
1.179534e+02	3.143397e+00	5.460657e+02
1.184715e+02	3.143397e+00	5.458372e+02
1.189896e+02	3.143397e+00	5.456091e+02
1.195078e+02	3.143397e+00	5.453813e+02
1.200259e+02	3.143397e+00	5.451539e+02
1.205440e+02	3.143397e+00	5.449269e+02
1.210622e+02	3.143397e+00	5.447002e+02
1.215803e+02	3.143397e+00	5.444739e+02
1.220984e+02	3.143397e+00	5.442479e+02
1.226166e+02	3.143397e+00	5.440223e+02
1.231347e+02	3.143397e+00	5.437971e+02
1.236528e+02	3.143397e+00	5.435722e+02
1.241710e+02	3.143397e+00	5.433476e+02
1.246891e+02	3.143397e+00	5.431234e+02
1.252073e+02	3.143397e+00	5.428995e+02
1.257254e+02	3.143397e+00	5.426760e+02
1.262435e+02	3.143397e+00	5.424528e+02
1.267617e+02	3.143397e+00	5.422299e+02
1.272798e+02	3.143397e+00	5.420073e+02
1.277979e+02	3.143397e+00	5.417851e+02
1.283161e+02	3.143397e+00	5.415632e+02
1.288342e+02	3.143397e+00	5.413416e+02
1.293523e+02	3.143397e+00	5.411203e+02
1.298705e+02	3.143397e+00	5.408993e+02
1.303886e+02	3.143397e+00	5.406787e+02
1.309067e+02	3.143397e+00	5.404583e+02
1.314249e+02	3.143397e+00	5.402383e+02
1.319430e+02	3.143397e+00	5.400185e+02
1.324611e+02	3.143397e+00	5.397991e+02
1.329793e+02	3.143397e+00	5.395799e+02
1.334974e+02	3.143397e+00	5.393611e+02
1.340155e+02	3.143397e+00	5.391425e+02
1.345337e+02	3.143397e+00	5.389243e+02
1.350518e+02	3.143397e+00	5.387063e+02
1.355699e+02	3.143397e+00	5.384886e+02
1.360881e+02	3.143397e+00	5.382712e+02
1.366062e+02	3.143397e+00	5.380541e+02
