  # Source : cellZone bedOfSpheres
# Cells  : 12131
# Time	sum(V)	volAverage(T)
1.081088e+02	5.221114e-01	5.666148e+02
1.086269e+02	5.221114e-01	5.663770e+02
1.091451e+02	5.221114e-01	5.661394e+02
1.096632e+02	5.221114e-01	5.659020e+02
1.101813e+02	5.221114e-01	5.656649e+02
1.106995e+02	5.221114e-01	5.654280e+02
1.112176e+02	5.221114e-01	5.651912e+02
1.117358e+02	5.221114e-01	5.649547e+02
1.122539e+02	5.221114e-01	5.647185e+02
1.127720e+02	5.221114e-01	5.644824e+02
1.132902e+02	5.221114e-01	5.642465e+02
1.138083e+02	5.221114e-01	5.640109e+02
1.143264e+02	5.221114e-01	5.637755e+02
1.148446e+02	5.221114e-01	5.635403e+02
1.153627e+02	5.221114e-01	5.633053e+02
1.158808e+02	5.221114e-01	5.630705e+02
1.163990e+02	5.221114e-01	5.628359e+02
1.169171e+02	5.221114e-01	5.626016e+02
1.174352e+02	5.221114e-01	5.623675e+02
1.179534e+02	5.221114e-01	5.621335e+02
1.184715e+02	5.221114e-01	5.618998e+02
1.189896e+02	5.221114e-01	5.616663e+02
1.195078e+02	5.221114e-01	5.614330e+02
1.200259e+02	5.221114e-01	5.611999e+02
1.205440e+02	5.221114e-01	5.609671e+02
1.210622e+02	5.221114e-01	5.607344e+02
1.215803e+02	5.221114e-01	5.605020e+02
1.220984e+02	5.221114e-01	5.602698e+02
1.226166e+02	5.221114e-01	5.600377e+02
1.231347e+02	5.221114e-01	5.598059e+02
1.236528e+02	5.221114e-01	5.595743e+02
1.241710e+02	5.221114e-01	5.593429e+02
1.246891e+02	5.221114e-01	5.591117e+02
1.252073e+02	5.221114e-01	5.588808e+02
1.257254e+02	5.221114e-01	5.586500e+02
1.262435e+02	5.221114e-01	5.584194e+02
1.267617e+02	5.221114e-01	5.581891e+02
1.272798e+02	5.221114e-01	5.579589e+02
1.277979e+02	5.221114e-01	5.577290e+02
1.283161e+02	5.221114e-01	5.574993e+02
1.288342e+02	5.221114e-01	5.572697e+02
1.293523e+02	5.221114e-01	5.570404e+02
1.298705e+02	5.221114e-01	5.568113e+02
1.303886e+02	5.221114e-01	5.565824e+02
1.309067e+02	5.221114e-01	5.563537e+02
1.314249e+02	5.221114e-01	5.561252e+02
1.319430e+02	5.221114e-01	5.558969e+02
1.324611e+02	5.221114e-01	5.556689e+02
1.329793e+02	5.221114e-01	5.554410e+02
1.334974e+02	5.221114e-01	5.552133e+02
1.340155e+02	5.221114e-01	5.549858e+02
1.345337e+02	5.221114e-01	5.547586e+02
1.350518e+02	5.221114e-01	5.545315e+02
1.355699e+02	5.221114e-01	5.543047e+02
1.360881e+02	5.221114e-01	5.540780e+02
1.366062e+02	5.221114e-01	5.538516e+02
1.371244e+02	5.221114e-01	5.536253e+02
1.376425e+02	5.221114e-01	5.533993e+02
1.381606e+02	5.221114e-01	5.531734e+02
1.386788e+02	5.221114e-01	5.529478e+02
1.391969e+02	5.221114e-01	5.527224e+02
1.397150e+02	5.221114e-01	5.524971e+02
1.402332e+02	5.221114e-01	5.522721e+02
1.407513e+02	5.221114e-01	5.520473e+02
1.412694e+02	5.221114e-01	5.518226e+02
1.417876e+02	5.221114e-01	5.515982e+02
1.423057e+02	5.221114e-01	5.513740e+02
1.428238e+02	5.221114e-01	5.511500e+02
1.433420e+02	5.221114e-01	5.509261e+02
1.438601e+02	5.221114e-01	5.507025e+02
1.443782e+02	5.221114e-01	5.504791e+02
1.448964e+02	5.221114e-01	5.502558e+02
1.454145e+02	5.221114e-01	5.500328e+02
1.459326e+02	5.221114e-01	5.498100e+02
1.464508e+02	5.221114e-01	5.495874e+02
1.469689e+02	5.221114e-01	5.493649e+02
